PrepID,Dataset name
HIG-RunIIFall17wmLHEGS-05378,WminusH_WToQQ_HToInvisible_M110_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05379,WminusH_WToQQ_HToInvisible_M150_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05380,WminusH_WToQQ_HToInvisible_M200_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05381,WminusH_WToQQ_HToInvisible_M300_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05382,WminusH_WToQQ_HToInvisible_M400_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05383,WminusH_WToQQ_HToInvisible_M500_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05384,WminusH_WToQQ_HToInvisible_M600_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05385,WminusH_WToQQ_HToInvisible_M800_TuneCP5_13TeV_powheg_pythia8
HIG-RunIIFall17wmLHEGS-05386,WminusH_WToQQ_HToInvisible_M1000_TuneCP5_13TeV_powheg_pythia8
